epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3299.72,2.49826,4.38827,0.62177,0,0.02624,5.10968,0.07275,0.11488,0.03213,0.0079,0.56572,0.32382,0.38035,0.28209,3.30865,5.00069,0.31035,0,0.0332,0,0.00033156,0.00033156,0.0671755
2,6556.3,2.14806,1.64749,0.57209,0,0.02103,3.49287,0.10248,0.14032,0.05597,0.01294,0.37392,0.32382,0.30886,0.24486,2.88911,3.13254,0.22933,0,0.0291,0,0.000660505,0.000660505,0.0341711
3,9786.5,2.06372,1.099,0.54778,0,0.02034,2.92845,0.12818,0.12413,0.05685,0.01346,0.31898,0.17887,0.12796,0.10682,2.76486,2.99207,0.2575,0,0.02876,0,0.00098505,0.00098505,0.00116236
4,12958.6,1.9178,0.8369,0.52508,0,0.01762,2.64736,0.06433,0.07787,0.02437,0.00549,0.32759,0.23747,0.2582,0.23121,2.73824,1.89623,0.21406,0,0.02146,0,0.0009802,0.0009802,0.0009802
5,16171,1.80973,0.65924,0.49696,0,0.01623,2.31189,0.08091,0.11951,0.04042,0.01015,0.46097,0.20046,0.21828,0.19506,2.62767,1.56414,0.25944,0,0.02207,0,0.0009736,0.0009736,0.0009736
6,19408.5,1.72529,0.5237,0.46524,0,0.01476,2.19407,0.17379,0.09406,0.06498,0.01932,0.50381,0.19102,0.2448,0.22733,2.23784,1.14618,0.24417,0,0.01815,0,0.000967,0.000967,0.000967
7,22647.2,1.68783,0.46927,0.44405,0,0.01431,2.13497,0.06218,0.13261,0.0354,0.0108,0.19948,0.35466,0.19025,0.16944,2.26081,1.39111,0.26981,0,0.01742,0,0.0009604,0.0009604,0.0009604
8,25902.6,1.70745,0.44048,0.40263,0,0.01445,2.02563,0.07065,0.1357,0.04227,0.01206,0.20189,0.34233,0.23512,0.21215,2.23308,1.07148,0.19617,0,0.01897,0,0.0009538,0.0009538,0.0009538
9,29159.4,1.60155,0.41829,0.39607,0,0.01389,1.95333,0.08631,0.12799,0.06283,0.01799,0.32257,0.28195,0.29056,0.27336,2.35629,1.3045,0.22525,0,0.01818,0,0.0009472,0.0009472,0.0009472
10,32441.7,1.58308,0.36919,0.37032,0,0.01272,1.9675,0.07896,0.14495,0.04977,0.01448,0.28513,0.19892,0.16743,0.15914,2.10016,0.89557,0.17165,0,0.01591,0,0.0009406,0.0009406,0.0009406
11,35885.6,1.54868,0.36157,0.36126,0,0.01228,1.85204,0.12903,0.12722,0.07991,0.0239,0.59609,0.18967,0.29054,0.27439,1.97504,0.89322,0.22427,0,0.01491,0,0.000934,0.000934,0.000934
12,39336.7,1.46458,0.30926,0.34216,0,0.01189,1.7395,0.093,0.16037,0.0569,0.0202,0.38341,0.17194,0.16521,0.15623,1.85684,0.83809,0.1874,0,0.01385,0,0.0009274,0.0009274,0.0009274
13,42818.5,1.45048,0.2884,0.34147,0,0.01133,1.68064,0.07809,0.14187,0.05027,0.01837,0.35555,0.17656,0.1696,0.16399,1.79443,0.50342,0.19933,0,0.01234,0,0.0009208,0.0009208,0.0009208
14,46241.5,1.45453,0.26866,0.33325,0,0.01115,1.66727,0.12102,0.1118,0.06041,0.01837,0.41627,0.19507,0.20086,0.19372,1.99639,0.74416,0.21365,0,0.0136,0,0.0009142,0.0009142,0.0009142
15,49651.8,1.41517,0.27613,0.32101,0,0.01092,1.64763,0.16078,0.12336,0.08634,0.02869,0.47909,0.19429,0.2762,0.26918,1.91102,0.71883,0.17786,0,0.01538,0,0.0009076,0.0009076,0.0009076
16,53011.8,1.39372,0.2572,0.31908,0,0.01085,1.59284,0.16141,0.12876,0.0804,0.02639,0.36921,0.25212,0.2704,0.26316,1.64004,0.47538,0.20029,0,0.01141,0,0.000901,0.000901,0.000901
17,56312.7,1.37123,0.24141,0.32113,0,0.01049,1.49778,0.11459,0.10966,0.0558,0.01825,0.61986,0.19275,0.2554,0.25252,1.72712,0.41926,0.18906,0,0.01136,0,0.0008944,0.0008944,0.0008944
18,59583.4,1.34345,0.23967,0.31184,0,0.01007,1.51981,0.0772,0.11642,0.05214,0.01776,0.3226,0.18427,0.18167,0.17495,1.84823,0.69207,0.19475,0,0.01355,0,0.0008878,0.0008878,0.0008878
19,62876.7,1.3122,0.1874,0.29049,0,0.00951,1.33548,0.14444,0.11719,0.08724,0.03488,0.38532,0.24827,0.29064,0.28498,1.52762,0.32805,0.18246,0,0.01024,0,0.0008812,0.0008812,0.0008812
20,66164.4,1.28037,0.19707,0.29818,0,0.00942,1.37811,0.13372,0.14958,0.07887,0.02755,0.43603,0.19661,0.22679,0.22181,1.73913,0.3863,0.19924,0,0.01046,0,0.0008746,0.0008746,0.0008746
21,69465.4,1.29137,0.2045,0.29479,0,0.00959,1.3685,0.11876,0.14726,0.0743,0.03029,0.43043,0.19738,0.24045,0.23459,1.62565,0.40611,0.19287,0,0.01091,0,0.000868,0.000868,0.000868
