epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,85523.4,0.60348,0.12108,0.43415,0.72105,0.00771,1.53194,0.46476,0.58057,0.53751,0.21452,0.64464,0.75019,0.74618,0.74115,0.82124,0.177,0.20971,0.99811,0.00611,0,0.0016832,0.0016832,0.0016832
26,88620.3,0.58732,0.12769,0.41075,0.70235,0.00695,1.34121,0.4366,0.57835,0.5229,0.20653,0.58998,0.74325,0.68225,0.66736,0.82409,0.81617,0.20622,1.08,0.00676,0,0.00167,0.00167,0.00167
27,91725.8,0.57837,0.10913,0.41241,0.69578,0.00677,1.29067,0.50777,0.56867,0.57091,0.23966,0.62045,0.73709,0.72636,0.7183,0.76262,0.4214,0.22773,1.12207,0.00644,0,0.0016568,0.0016568,0.0016568
28,94842.9,0.60361,0.11701,0.40171,0.69763,0.00726,1.33828,0.60438,0.61681,0.65644,0.23253,0.67867,0.75885,0.78077,0.77693,0.84208,0.15353,0.19352,0.95363,0.00536,0,0.0016436,0.0016436,0.0016436
29,97957.7,0.583,0.10126,0.40668,0.69733,0.00677,1.19221,0.5154,0.60106,0.60351,0.23872,0.67116,0.75405,0.7903,0.7852,0.80872,0.16711,0.20827,0.94089,0.00638,0,0.0016304,0.0016304,0.0016304
30,101235,0.57013,0.11386,0.38971,0.68182,0.00653,1.07094,0.40604,0.62914,0.47697,0.19827,0.61772,0.75636,0.73031,0.72338,0.79362,0.27253,0.21354,1.1489,0.00638,0,0.0016172,0.0016172,0.0016172
31,104520,0.59224,0.121,0.39117,0.69423,0.00714,1.3033,0.54438,0.58057,0.60328,0.2763,0.64647,0.77024,0.75871,0.75477,0.74563,0.17194,0.15864,0.93202,0.00538,0,0.001604,0.001604,0.001604
32,107806,0.58284,0.11,0.38793,0.67856,0.00671,1.07729,0.51845,0.54973,0.54592,0.21046,0.6869,0.78026,0.79736,0.79208,0.71548,0.21941,0.24039,1.16572,0.00558,0,0.0015908,0.0015908,0.0015908
33,111049,0.58106,0.11676,0.38219,0.66463,0.00661,1.14279,0.43354,0.42428,0.4263,0.17118,0.60944,0.7448,0.69354,0.68642,0.82278,0.25151,0.19572,1.14576,0.00556,0,0.0015776,0.0015776,0.0015776
34,114334,0.5757,0.13924,0.37981,0.68951,0.00665,1.08525,0.54167,0.45181,0.52225,0.21794,0.61866,0.82555,0.7411,0.7353,0.81477,0.22884,0.17047,1.05683,0.00544,0,0.0015644,0.0015644,0.0015644
35,117606,0.56263,0.10342,0.37851,0.69917,0.0064,0.94778,0.50496,0.61758,0.61376,0.29652,0.65664,0.82421,0.77388,0.76993,0.67277,0.19938,0.18894,0.90517,0.00604,0,0.0015512,0.0015512,0.0015512
36,120898,0.56346,0.09163,0.36643,0.6841,0.00625,0.87727,0.60006,0.66516,0.68761,0.32692,0.65706,0.79029,0.76525,0.76145,0.70212,0.1506,0.17971,0.89401,0.0055,0,0.001538,0.001538,0.001538
37,124196,0.54086,0.07579,0.35277,0.66882,0.0059,0.68955,0.50038,0.52583,0.54698,0.25267,0.6265,0.79408,0.74725,0.74318,0.69311,0.10453,0.20085,0.97115,0.00471,0,0.0015248,0.0015248,0.0015248
38,127529,0.54002,0.09111,0.33948,0.67377,0.00599,0.7865,0.50565,0.65227,0.61339,0.25604,0.58394,0.75328,0.72196,0.7192,0.73958,0.12849,0.24198,0.95541,0.00551,0,0.0015116,0.0015116,0.0015116
39,130812,0.53739,0.08402,0.319,0.68363,0.006,0.78162,0.50833,0.54356,0.56089,0.27348,0.58064,0.76947,0.70861,0.70477,0.61807,0.13779,0.17867,0.93682,0.00409,0,0.0014984,0.0014984,0.0014984
40,134065,0.53675,0.08193,0.28817,0.66974,0.00585,0.64427,0.58342,0.63146,0.6424,0.31633,0.62187,0.78103,0.73514,0.73208,0.63953,0.12252,0.21059,0.90707,0.0046,0,0.0014852,0.0014852,0.0014852
41,137316,0.5256,0.08226,0.27097,0.67978,0.00601,0.6645,0.5029,0.59599,0.56876,0.26472,0.60983,0.74094,0.70496,0.70315,0.74361,0.09846,0.1799,0.93762,0.00597,0,0.001472,0.001472,0.001472
42,140717,0.5254,0.07598,0.27544,0.67527,0.00588,0.6215,0.59044,0.63454,0.64531,0.3158,0.64957,0.78174,0.73932,0.73712,0.65424,0.09381,0.18784,0.9076,0.00439,0,0.0014588,0.0014588,0.0014588
43,144101,0.53584,0.07707,0.26522,0.65914,0.00587,0.80866,0.64623,0.68928,0.7065,0.31376,0.66932,0.77405,0.76968,0.76767,0.76999,0.11472,0.19236,0.91878,0.00458,0,0.0014456,0.0014456,0.0014456
