epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
12,38472.1,1.41124,0.3031,0.48409,1.47488,0.01044,5.03876,0.30977,0.51658,0.36652,0.12452,0.6009,0.62107,0.64671,0.63162,1.59341,0.69313,0.1967,2.14525,0.01096,0,0.0018548,0.0018548,0.0018548
13,41699.1,1.35426,0.26459,0.48219,1.46362,0.00964,4.60278,0.365,0.55436,0.38929,0.14413,0.56073,0.70665,0.68292,0.67099,1.62687,0.29762,0.21925,1.88051,0.00869,0,0.0018416,0.0018416,0.0018416
14,44903.9,1.38001,0.23906,0.47495,1.43302,0.01001,4.43028,0.29353,0.65998,0.38476,0.15489,0.61193,0.74094,0.73563,0.72846,1.37292,0.26774,0.20653,1.89785,0.00751,0,0.0018284,0.0018284,0.0018284
15,48113.4,1.33606,0.2406,0.47205,1.4322,0.00952,4.02619,0.40908,0.47494,0.47124,0.1602,0.69133,0.80262,0.81188,0.79826,1.92203,0.26807,0.26165,1.97314,0.00939,0,0.0018152,0.0018152,0.0018152
16,51344.7,1.33379,0.21774,0.46379,1.40389,0.00905,3.95512,0.26639,0.59368,0.32482,0.12322,0.57087,0.734,0.68446,0.674,1.52153,0.27947,0.20053,1.88622,0.00892,0,0.001802,0.001802,0.001802
17,54555.4,1.3015,0.20281,0.45921,1.38099,0.0089,3.61573,0.27988,0.70856,0.3452,0.12981,0.65771,0.79722,0.78827,0.77216,1.56894,0.24817,0.23448,1.98057,0.00831,0,0.0017888,0.0017888,0.0017888
18,57765.4,1.30182,0.19519,0.45717,1.35089,0.00874,3.7767,0.35639,0.68851,0.42197,0.18163,0.60425,0.74517,0.73253,0.72772,1.32717,0.22478,0.22485,1.75367,0.00653,0,0.0017756,0.0017756,0.0017756
19,61067.3,1.33562,0.19753,0.43762,1.3476,0.0092,3.7812,0.26498,0.61758,0.31731,0.11468,0.58052,0.77677,0.72146,0.7157,1.53297,0.27232,0.1873,2.01903,0.00722,0,0.0017624,0.0017624,0.0017624
20,64514.6,1.2939,0.2009,0.43221,1.33323,0.00837,3.3375,0.45667,0.65227,0.53799,0.23002,0.54352,0.79409,0.66344,0.65739,1.42681,0.19187,0.2375,1.60656,0.00826,0,0.0017492,0.0017492,0.0017492
21,68528.2,1.24518,0.17913,0.44471,1.32802,0.00816,3.22633,0.43093,0.67695,0.55811,0.21923,0.59395,0.77819,0.73045,0.72577,1.41399,0.20045,0.25702,1.6768,0.00758,0,0.001736,0.001736,0.001736
22,72296.5,1.22749,0.14839,0.43413,1.30653,0.00772,2.93096,0.40581,0.5966,0.50974,0.20365,0.63572,0.70702,0.71983,0.71197,1.44752,0.35778,0.25458,1.75237,0.008,0,0.0017228,0.0017228,0.0017228
23,76198.6,1.21555,0.17549,0.44411,1.32776,0.00792,3.19641,0.47631,0.65921,0.54368,0.2216,0.67521,0.73731,0.78541,0.77953,1.32448,0.16044,0.20131,1.66807,0.0061,0,0.0017096,0.0017096,0.0017096
24,79826.3,1.23483,0.19271,0.43717,1.30409,0.0079,2.82334,0.39568,0.66615,0.50375,0.19709,0.53918,0.7687,0.656,0.65359,1.39413,0.20793,0.26292,1.75296,0.00712,0,0.0016964,0.0016964,0.0016964
25,83230.6,1.21108,0.19245,0.43537,1.35944,0.00792,3.03489,0.38796,0.59674,0.48172,0.20372,0.53408,0.74402,0.60612,0.59557,1.37137,0.52774,0.23936,1.77313,0.0072,0,0.0016832,0.0016832,0.0016832
26,86508.2,1.2259,0.17721,0.42217,1.30573,0.0078,2.81237,0.37283,0.63527,0.48546,0.20428,0.64357,0.73631,0.7438,0.7409,1.27147,0.2149,0.23095,1.75306,0.00627,0,0.00167,0.00167,0.00167
27,89805.7,1.24218,0.20198,0.41891,1.30665,0.00773,2.80595,0.34632,0.62914,0.45552,0.1894,0.59659,0.71318,0.67642,0.67247,1.39937,0.42622,0.22207,1.81825,0.00651,0,0.0016568,0.0016568,0.0016568
