epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3825.2,2.58429,5.16646,0.83312,2.78052,0.02888,23.103,0.14309,0.34464,0.1031,0.02203,0.31096,0.34618,0.29314,0.12492,2.88772,6.03083,0.36906,2.93917,0.03119,0,0.000663121,0.000663121,0.000663121
2,6961.8,2.1417,2.1036,0.58546,2.00205,0.02227,13.0786,0.01855,0.1064,0.01352,0.00354,0.2062,0.44641,0.15532,0.07676,3.03843,4.86551,0.28042,3.98198,0.03485,0,0.00132101,0.00132101,0.00132101
3,10054.8,2.07205,1.37815,0.55735,2.03181,0.02184,11.5179,0.06536,0.30918,0.05189,0.01439,0.39234,0.53585,0.43191,0.30395,2.61814,2.64036,0.25518,3.37,0.0256,0,0.0019701,0.0019701,0.0019701
4,13142.2,1.97151,1.14127,0.55258,1.99486,0.02065,10.1995,0.05553,0.21461,0.03888,0.01042,0.49952,0.61527,0.52894,0.27574,2.55804,1.67015,0.24649,3.30631,0.02313,0,0.0019604,0.0019604,0.0019604
5,16260.9,1.83664,0.76611,0.54436,1.85119,0.01792,8.99345,0.09954,0.38705,0.08935,0.02846,0.3055,0.62375,0.36106,0.28807,2.43305,1.35509,0.30155,3.26407,0.01963,0,0.0019472,0.0019472,0.0019472
6,19427.5,1.66616,0.63963,0.53722,1.82135,0.01508,7.78772,0.16649,0.48805,0.1553,0.05021,0.58373,0.68774,0.65599,0.5826,2.09,0.90534,0.25856,2.47687,0.01602,0,0.001934,0.001934,0.001934
7,22572.7,1.59731,0.45258,0.51999,1.68325,0.01391,7.03496,0.20968,0.51041,0.22544,0.07204,0.54411,0.70008,0.65837,0.6338,2.04564,0.57345,0.22247,2.27585,0.01456,0,0.0019208,0.0019208,0.0019208
8,25743.9,1.60213,0.48902,0.50423,1.63588,0.01328,6.5973,0.17737,0.52352,0.17323,0.04901,0.51383,0.64131,0.59749,0.53079,2.17907,0.78304,0.17718,2.58021,0.01669,0,0.0019076,0.0019076,0.0019076
9,28921.6,1.56483,0.48895,0.51709,1.64293,0.01263,6.63909,0.19872,0.45798,0.2033,0.0692,0.553,0.72398,0.63367,0.6131,1.66767,0.61919,0.22179,2.37268,0.01227,0,0.0018944,0.0018944,0.0018944
10,32078.9,1.43683,0.36476,0.50625,1.55951,0.01118,5.72757,0.2253,0.6091,0.24668,0.09231,0.58165,0.7448,0.70484,0.68838,1.77095,0.42608,0.24307,2.10975,0.01043,0,0.0018812,0.0018812,0.0018812
11,35255.5,1.43975,0.36127,0.48603,1.51442,0.0113,5.65561,0.23499,0.63917,0.26423,0.10223,0.62863,0.75713,0.73083,0.70763,1.70567,0.41214,0.22484,2.0325,0.01026,0,0.001868,0.001868,0.001868
